what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jst.common.ui,1.0.101.v201201262000,"org.eclipse.jst.common.ui",1339095506456
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339095538512
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1339095538528
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339095543439
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339095545557
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.launchShortcut.run",1339095545572
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1339095547754
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1339095547782
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1339095548868
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339095566829
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339095591369
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1339095594177
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339095596286
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339095616401
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1339095616422
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1339095618162
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339095622051
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339095622580
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.launchShortcut.run",1339095622595
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1339095622747
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1339095622776
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1339095625442
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1339095626281
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1339095626281
activated,editor,org.jboss.tools.jst.jsp,3.3.0.v20120423-2031-H1021-Beta3,"org.jboss.tools.jst.jsp.jspeditor.HTMLTextEditor",1339095629132
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1339095629133
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1339095632114
closed,editor,org.jboss.tools.jst.jsp,3.3.0.v20120423-2031-H1021-Beta3,"org.jboss.tools.jst.jsp.jspeditor.HTMLTextEditor",1339095632114
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339095635385
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1339095635477
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1339095635477
started,bundle,org.eclipse.pde.ui,3.6.100.v20120103_r372,"org.eclipse.pde.ui",1339095635478
started,bundle,org.eclipse.wst.jsdt.debug.rhino.ui,1.0.1.v201201112313,"org.eclipse.wst.jsdt.debug.rhino.ui",1339095635479
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339095635522
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339095635539
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339095636102
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339095639839
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339095640739
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.launchShortcut.run",1339095640764
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1339095643032
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1339095643051
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1339095675307
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1339095677290
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1339095678255
error,log,,,"java.lang.NullPointerException",1339095678407
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339095681797
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339095682252
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.cleanAction",1339095682297
started,bundle,org.eclipse.jst.jsf.facesconfig,1.2.2.v201105031140,"org.eclipse.jst.jsf.facesconfig",1339095684463
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1339095685603
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1339095685636
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1339095685636
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1339095688536
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339095691492
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339095697934
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.launchShortcut.run",1339095697953
error,log,,,"GlassFish: deploy is failing=",1339095698844
error,log,,,"cannot Deploy ProjectWeb",1339095698861
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339095698956
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339095703992
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.launchShortcut.run",1339095709898
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1339095710128
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1339095710148
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339095722637
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339095758647
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1339095760880
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339095761917
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339095761952
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339095761964
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339095762073
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.launchShortcut.run",1339095766155
error,log,,,"GlassFish: deploy is failing=",1339095766836
error,log,,,"cannot Deploy ProjectWeb",1339095766840
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339095766892
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339095768389
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.launchShortcut.run",1339095772269
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1339095772555
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1339095772587
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1339095781702
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1339095788995
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1339095796672
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.launchShortcut.run",1339095802452
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1339095802613
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1339095802645
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1339095804882
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1339095810009
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1339095819822
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1339095828457
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.launchShortcut.run",1339095856812
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1339095856913
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1339095856941
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1339095859861
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1339095859861
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1339095868257
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1339095868257
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1339095869775
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1339095869775
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339095879086
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339095883625
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1339095883650
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339095887606
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339095899594
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339095918940
started,bundle,org.jboss.tools.common.ui,3.3.0.v20120423-2010-H858-Beta3,"org.jboss.tools.common.ui",1339095921367
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1339095922234
started,bundle,org.eclipse.jst.jsf.apache.trinidad.tagsupport,1.1.200.v201104061711,"org.eclipse.jst.jsf.apache.trinidad.tagsupport",1339095923374
started,bundle,org.jboss.tools.jsf.ui,3.3.0.v20120423-2340-H897-Beta3,"org.jboss.tools.jsf.ui",1339095940475
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20111007_r372,"org.eclipse.ui.externaltools",1339095954204
started,bundle,org.eclipse.core.externaltools,1.0.100.v20111007_r372,"org.eclipse.core.externaltools",1339095954240
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339095957583
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1339095957616
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.launchShortcut.run",1339095967285
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1339095967400
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1339095967421
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1339095976060
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1339095976060
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1339096805313
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1339096805384
opened,view,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui.views.tasks",1339096805646
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.AllMarkersView",1339096816037
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1339096854044
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339096907192
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339096929709
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1339096986403
error,log,,,"java.lang.NullPointerException",1339096986555
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1339096986593
error,log,,,"java.lang.NullPointerException",1339096986744
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1339097027937
opened,editor,org.jboss.tools.jst.jsp,3.3.0.v20120423-2031-H1021-Beta3,"org.jboss.tools.jst.jsp.jspeditor.HTMLTextEditor",1339097028296
activated,editor,org.jboss.tools.jst.jsp,3.3.0.v20120423-2031-H1021-Beta3,"org.jboss.tools.jst.jsp.jspeditor.HTMLTextEditor",1339097028398
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1339097031367
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.launchShortcut.run",1339097034414
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1339097034516
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1339097034573
activated,editor,org.jboss.tools.jst.jsp,3.3.0.v20120423-2031-H1021-Beta3,"org.jboss.tools.jst.jsp.jspeditor.HTMLTextEditor",1339097039564
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1339097039564
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1339097040781
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339097041420
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339097042063
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1339097042070
activated,editor,org.jboss.tools.jst.jsp,3.3.0.v20120423-2031-H1021-Beta3,"org.jboss.tools.jst.jsp.jspeditor.HTMLTextEditor",1339097043600
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1339097045905
closed,editor,org.jboss.tools.jst.jsp,3.3.0.v20120423-2031-H1021-Beta3,"org.jboss.tools.jst.jsp.jspeditor.HTMLTextEditor",1339097045905
opened,editor,org.jboss.tools.jst.jsp,3.3.0.v20120423-2031-H1021-Beta3,"org.jboss.tools.jst.jsp.jspeditor.HTMLTextEditor",1339097087644
activated,editor,org.jboss.tools.jst.jsp,3.3.0.v20120423-2031-H1021-Beta3,"org.jboss.tools.jst.jsp.jspeditor.HTMLTextEditor",1339097087771
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1339097089755
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.launchShortcut.run",1339097096063
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1339097096168
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1339097096225
activated,editor,org.jboss.tools.jst.jsp,3.3.0.v20120423-2031-H1021-Beta3,"org.jboss.tools.jst.jsp.jspeditor.HTMLTextEditor",1339097105790
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1339097105790
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1339097127183
started,bundle,org.jboss.tools.common.gef,3.3.0.v20120423-2010-H858-Beta3,"org.jboss.tools.common.gef",1339097129618
started,bundle,org.jboss.tools.jst.web.tiles.ui,3.3.0.v20120423-2031-H1021-Beta3,"org.jboss.tools.jst.web.tiles.ui",1339097129720
started,bundle,org.eclipse.m2e.editor.xml,1.0.200.20111228-1245,"org.eclipse.m2e.editor.xml",1339097129993
started,bundle,org.eclipse.wst.xsl.ui,1.1.200.v201103082057,"org.eclipse.wst.xsl.ui",1339097130246
opened,editor,org.jboss.tools.common.model.ui,3.3.0.v20120423-2010-H858-Beta3,"org.jboss.tools.common.model.ui.editor.EditorPartWrapper",1339097130284
activated,editor,org.jboss.tools.common.model.ui,3.3.0.v20120423-2010-H858-Beta3,"org.jboss.tools.common.model.ui.editor.EditorPartWrapper",1339097130370
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1339097134661
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1339097138337
